EAR
年龄	钙	磷	钾	钠	镁	氯	铁	碘	锌	硒	铜	氟	铬	锰	钼	维生素A	维生素D	维生素E	维生素K	维生素B1	维生素B2	烟酸	烟酰胺	维生素B6	叶酸	维生素B12	泛酸	生物素	胆碱	维生素C
12岁~	850	580	0	0	260	0	14	80	6.3	50	0.56	0	0	0	20	520	8	0	0	1	1	10	0	1.1	310	1.7	0	0	0	80
15岁~	800	600	0	0	270	0	14	85	6.5	50	0.59	0	0	0	20	480	8	0	0	1.1	1	10	0	1.2	320	2.1	0	0	0	85
18岁~	650	600	0	0	270	0	12	85	6.9	50	0.62	0	0	0	20	470	8	0	0	1	1	10	0	1.2	320	2	0	0	0	85
30岁~	650	590	0	0	270	0	12	85	6.9	50	0.6	0	0	0	20	470	8	0	0	1	1	10	0	1.2	320	2	0	0	0	85
50岁~	650	590	0	0	270	0	8	85	6.9	50	0.6	0	0	0	20	470	8	0	0	1	1	10	0	1.3	320	2	0	0	0	85
65岁~	650	570	0	0	260	0	8	85	6.9	50	0.58	0	0	0	20	460	8	0	0	1	1	10	0	1.3	320	2	0	0	0	85
75岁~	650	570	0	0	250	0	8	85	6.9	50	0.57	0	0	0	20	430	8	0	0	1	1	10	0	1.3	320	2	0	0	0	85
101岁~	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNI
年龄	钙	磷	钾	钠	镁	氯	铁	碘	锌	硒	铜	氟	铬	锰	钼	维生素A	维生素D	维生素E	维生素K	维生素B1	维生素B2	烟酸	烟酰胺	维生素B6	叶酸	维生素B12	泛酸	生物素	胆碱	维生素C
4岁~	600	350	1100	800	160	1200	10	90	5.5	30	0.4	0.7	15	2	12	390	10	7	40	0.9	0.9	7	0	0.7	190	1.2	2.5	20	200	50
7岁~	800	440	1300	900	200	1400	12	90	7	40	0.5	0.9	20	2.5	15	430	10	9	50	1	1	9	0	0.8	240	1.4	3.1	25	250	60
9岁~	1000	550	1600	1100	250	1700	16	90	7	45	0.6	1.1	25	3.5	20	560	10	11	60	1.1	1.1	10	0	1	290	1.8	3.8	30	300	75
12岁~	1000	700	1800	1400	320	2200	16	110	8.5	60	0.7	1.4	33	4.5	25	780	10	13	70	1.4	1.4	13	0	1.3	370	2	4.9	35	380	95
15岁~	1000	720	2000	1600	330	2500	16	120	11.5	60	0.8	1.5	35	5	25	810	10	14	75	1.6	1.6	15	0	1.4	400	2.5	5	40	450	100
18岁~	800	720	2000	1500	330	2300	12	120	12	60	0.8	1.5	35	4.5	25	770	10	14	80	1.4	1.4	15	0	1.4	400	2.4	5	40	450	100
30岁~	800	710	2000	1500	320	2300	12	120	12	60	0.8	1.5	35	4.5	25	770	10	14	80	1.4	1.4	15	0	1.4	400	2.4	5	40	450	100
50岁~	800	710	2000	1500	320	2300	12	120	12	60	0.8	1.5	30	4.5	25	750	10	14	80	1.4	1.4	15	0	1.6	400	2.4	5	40	450	100
65岁~	800	680	2000	1400	310	2200	12	120	12	60	0.8	1.5	30	4.5	25	730	15	14	80	1.4	1.4	15	0	1.6	400	2.4	5	40	450	100
75岁~	800	680	2000	1400	300	2200	12	120	12	60	0.7	1.5	30	4.5	25	710	15	14	80	1.4	1.4	15	0	1.6	400	2.4	5	40	450	100
101岁~	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4岁~	600	350	1100	800	160	1200	10	90	5.5	30	0.4	0.7	15	2	12	380	10	7	40	0.9	0.8	6	0	0.7	190	1.2	2.5	20	200	50
7岁~	800	440	1300	900	200	1400	12	90	7	40	0.5	0.9	20	2.5	15	390	10	9	50	0.9	0.9	8	0	0.8	240	1.4	3.1	25	250	60
9岁~	1000	550	1600	1100	250	1700	16	90	7	45	0.6	1.1	25	3	20	540	10	11	60	1	1	10	0	1	290	1.8	3.8	30	300	75
12岁~	1000	700	1800	1400	320	2200	18	110	7.5	60	0.7	1.4	30	4	25	730	10	13	70	1.2	1.2	12	0	1.3	370	2	4.9	35	380	95
15岁~	1000	720	2000	1600	330	2500	18	120	8	60	0.8	1.5	30	4	25	670	10	14	75	1.3	1.2	12	0	1.4	400	2.5	5	40	380	100
18岁~	800	720	2000	1500	330	2300	18	120	8.5	60	0.8	1.5	30	4	25	660	10	14	80	1.2	1.2	12	0	1.4	400	2.4	5	40	380	100
30岁~	800	710	2000	1500	320	2300	18	120	8.5	60	0.8	1.5	30	4	25	660	10	14	80	1.2	1.2	12	0	1.4	400	2.4	5	40	380	100
50岁~	800	710	2000	1500	320	2300	10	120	8.5	60	0.8	1.5	25	4	25	660	10	14	80	1.2	1.2	12	0	1.6	400	2.4	5	40	380	100
65岁~	800	680	2000	1400	310	2200	10	120	8.5	60	0.8	1.5	25	4	25	640	15	14	80	1.2	1.2	12	0	1.6	400	2.4	5	40	380	100
75岁~	800	680	2000	1400	300	2200	10	120	8.5	60	0.7	1.5	25	4	25	600	15	14	80	1.2	1.2	12	0	1.6	400	2.4	5	40	380	100
101岁~	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UL
年龄阶段	钙	磷	钾	钠	镁	氯	铁	碘	锌	硒	铜	氟	铬	锰	钼	维生素A	维生素D	维生素E	维生素K	维生素B1	维生素B2	烟酸	烟酰胺	维生素B6	叶酸	维生素B12	泛酸	生物素	胆碱	维生素C
4岁~	2000	0	1800	1000	0	0	30	200	13	120	3	1.1	0	3.5	300	1000	30	200	0	0	0	15	130	25	400	0	0	0	1000	600
7岁~	2000	0	2200	1200	0	0	35	250	21	150	3	1.5	0	5	400	1300	45	300	0	0	0	19	160	32	500	0	0	0	2000	800
9岁~	2000	0	2800	1500	0	0	35	250	24	200	5	2	0	6.5	500	1800	45	400	0	0	0	23	200	40	650	0	0	0	2000	1100
12岁~	2000	0	3200	1900	0	0	40	300	32	300	6	2.4	0	9	700	2400	50	500	0	0	0	30	260	50	800	0	0	0	2000	1600
15岁~	2000	0	3600	2100	0	0	40	500	37	350	7	3.5	0	10	800	2800	50	600	0	0	0	33	290	55	900	0	0	0	2500	1800
18岁~	2000	3500	3600	2000	0	0	42	600	40	400	8	3.5	0	11	900	3000	50	700	0	0	0	35	310	60	1000	0	0	0	3000	2000
30岁~	2000	3500	3600	2000	0	0	42	600	40	400	8	3.5	0	11	900	3000	50	700	0	0	0	35	310	60	1000	0	0	0	3000	2000
50岁~	2000	3500	3600	2000	0	0	42	600	40	400	8	3.5	0	11	900	3000	50	700	0	0	0	35	310	55	1000	0	0	0	3000	2000
65岁~	2000	3000	3600	1900	0	0	42	600	40	400	8	3.5	0	11	900	3000	50	700	0	0	0	35	300	55	1000	0	0	0	3000	2000
75岁~	2000	3000	3600	1800	0	0	42	600	40	400	8	3.5	0	11	900	3000	50	700	0	0	0	35	290	55	1000	0	0	0	3000	2000
101岁~	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4岁~	2000	0	1800	1000	0	0	30	200	13	120	3	1.1	0	3.5	300	1000	30	200	0	0	0	15	130	25	400	0	0	0	1000	600
7岁~	2000	0	2200	1200	0	0	35	250	21	150	3	1.5	0	5	400	1300	45	300	0	0	0	19	160	32	500	0	0	0	2000	800
9岁~	2000	0	2800	1500	0	0	35	250	24	200	5	2	0	6.5	500	1800	45	400	0	0	0	23	200	40	650	0	0	0	2000	1100
12岁~	2000	0	3200	1900	0	0	40	300	32	300	6	2.4	0	9	700	2400	50	500	0	0	0	30	260	50	800	0	0	0	2000	1600
15岁~	2000	0	3600	2100	0	0	40	500	37	350	7	3.5	0	10	800	2800	50	600	0	0	0	33	290	55	900	0	0	0	2500	1800
18岁~	2000	3500	3600	2000	0	0	42	600	40	400	8	3.5	0	11	900	3000	50	700	0	0	0	35	310	60	1000	0	0	0	3000	2000
30岁~	2000	3500	3600	2000	0	0	42	600	40	400	8	3.5	0	11	900	3000	50	700	0	0	0	35	310	60	1000	0	0	0	3000	2000
50岁~	2000	3500	3600	2000	0	0	42	600	40	400	8	3.5	0	11	900	3000	50	700	0	0	0	35	310	55	1000	0	0	0	3000	2000
65岁~	2000	3000	3600	1900	0	0	42	600	40	400	8	3.5	0	11	900	3000	50	700	0	0	0	35	300	55	1000	0	0	0	3000	2000
75岁~	2000	3000	3600	1800	0	0	42	600	40	400	8	3.5	0	11	900	3000	50	700	0	0	0	35	290	55	1000	0	0	0	3000	2000
101岁~	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
